Year,Quarter,Country,NZPort,Product Type,Export Quantity
2007,Jun,Japan,Napier,Softwood Chips,17000
2007,Jun,Japan,Invercargill,Hardwood Chips,9104
2007,Jun,Japan,Dunedin,Softwood Chips,18134
2007,Jun,Singapore,Tauranga,Softwood Chips,22
2007,Jun,Singapore,Auckland,Softwood Chips,46
2007,Sep,Australia,Tauranga,Hardwood Chips,10
2007,Sep,Japan,Whangarei,Softwood Chips,34100
2007,Sep,Japan,Napier,Softwood Chips,33850
2007,Sep,Japan,Invercargill,Hardwood Chips,15802
2007,Sep,Japan,Dunedin,Softwood Chips,16826
2007,Sep,Singapore,Auckland,Softwood Chips,90
2007,Dec,Australia,Christchurch,Softwood Chips,4
2007,Dec,Japan,Whangarei,Softwood Chips,33400
